country,sector,organization_id,domain_hash,collection_date,certificate_query_status,certificate_source_available,certificate_fallback_used,certificate_domain_count,dns_domain_count,subdomain_count,total_observed_hostnames,ipv4_count,ipv6_count,discovered_ip_count,internetdb_record_count,mx_count,ns_count,has_spf,spf_status,spf_policy,weak_spf,has_dmarc,dmarc_status,dmarc_policy,dmarc_enforced,self_hosted_mail,observed_asset_coverage,finding_count,high_priority_finding_count,posture_score
nigeria,government,NG-GOV-001,3e6deddff570caae,2026-08-26,fallback,False,True,1,1,8,9,2,2,4,4,1,2,True,valid,weak_softfail,True,False,absent,absent,False,False,,3,1,69
ghana,government,GH-GOV-001,038544f3a924b642,2026-08-26,fallback,False,True,1,1,52,53,2,0,51,51,1,4,True,valid,strict_hardfail,False,False,absent,absent,False,False,,3,1,69
kenya,government,KE-GOV-001,bcf1f9497211830c,2026-08-26,success,True,False,14,14,5,19,8,0,9,9,3,3,True,valid,weak_softfail,True,False,absent,absent,False,False,1.0,29,27,0
south-africa,government,ZA-GOV-001,4263880bc9dd5eee,2026-08-26,fallback,False,True,1,1,3,4,1,0,4,4,1,6,True,valid,weak_softfail,True,False,absent,absent,False,True,,4,1,61
egypt,government,EG-GOV-001,daef46c7b74fb982,2026-08-26,fallback,False,True,1,1,1,2,1,0,1,1,0,0,False,absent,absent,,False,absent,absent,False,False,,2,2,70
tanzania,government,TZ-GOV-001,3496982c72049f66,2026-08-26,fallback,False,True,1,1,2,3,1,0,2,2,0,3,False,absent,absent,,False,absent,absent,False,False,,3,2,62
nigeria,universities,NG-UNI-001,e91b3a3f2f86873e,2026-08-26,fallback,False,True,1,1,14,15,1,0,14,14,6,2,True,valid,weak_softfail,True,True,valid,none,False,True,,4,0,68
ghana,universities,GH-UNI-001,ab0d7a8890b7d05b,2026-08-26,fallback,False,True,1,1,26,27,1,0,24,24,1,2,True,valid,strict_hardfail,False,True,valid,none,False,False,,2,0,84
kenya,universities,KE-UNI-001,042d8344c12dfcd4,2026-08-26,fallback,False,True,1,1,5,6,1,0,5,5,5,3,True,valid,weak_softfail,True,True,valid,none,False,False,,3,0,76
south-africa,universities,ZA-UNI-001,58010b8c6a58f614,2026-08-26,fallback,False,True,1,1,15,16,1,0,16,16,5,4,True,valid,strict_hardfail,False,True,valid,quarantine,True,False,,2,0,84
egypt,universities,EG-UNI-001,49ab95ced5ef16aa,2026-08-26,fallback,False,True,1,1,12,13,1,0,12,12,5,4,True,valid,strict_hardfail,False,True,valid,reject,True,True,,3,0,76
tanzania,universities,TZ-UNI-001,a8a6fc8a93fa35f1,2026-08-26,fallback,False,True,1,1,12,13,1,0,12,12,3,3,True,valid,weak_softfail,True,True,valid,reject,True,True,,4,0,68
nigeria,business,NG-BUS-001,8dbd80392d07bda0,2026-08-26,fallback,False,True,1,1,12,13,2,0,7,7,4,4,True,valid,strict_hardfail,False,True,valid,reject,True,False,,2,0,84
ghana,business,GH-BUS-001,39f22634b5f564f6,2026-08-26,fallback,False,True,1,1,12,13,1,0,12,12,1,2,True,valid,strict_hardfail,False,True,valid,quarantine,True,False,,2,0,84
kenya,business,KE-BUS-001,dc0f2be809f221ac,2026-08-26,fallback,False,True,1,1,15,16,2,2,15,15,1,2,True,valid,weak_softfail,True,True,valid,quarantine,True,False,,3,0,76
south-africa,business,ZA-BUS-001,667baf12a597722e,2026-08-26,fallback,False,True,1,1,14,15,2,0,12,12,1,2,True,valid,weak_softfail,True,True,valid,reject,True,False,,3,0,76
egypt,business,EG-BUS-001,b9ad8cfcb4d5e13f,2026-08-26,fallback,False,True,1,1,4,5,3,0,5,5,6,2,True,valid,strict_hardfail,False,True,valid,reject,True,True,,1,0,92
tanzania,business,TZ-BUS-001,9f0e39d458ebe70b,2026-08-26,fallback,False,True,1,1,12,13,3,3,12,12,1,2,True,valid,weak_softfail,True,True,valid,reject,True,True,,4,0,68
nigeria,healthcare,NG-HEA-001,afc2bd76c7866836,2026-08-26,fallback,False,True,1,1,5,6,1,0,3,3,1,4,True,valid,weak_softfail,True,True,valid,reject,True,True,,3,0,76
ghana,healthcare,GH-HEA-001,3ca36f7db354b8d2,2026-08-26,fallback,False,True,1,1,70,71,1,0,1,1,1,2,False,absent,absent,,False,absent,absent,False,False,,5,2,51
kenya,healthcare,KE-HEA-001,4684277397d3fbf3,2026-08-26,fallback,False,True,1,1,22,23,1,0,12,12,1,4,True,valid,strict_hardfail,False,True,valid,none,False,False,,2,0,84
south-africa,healthcare,ZA-HEA-001,0b341d63f166d6db,2026-08-26,fallback,False,True,1,1,9,10,2,2,9,9,2,2,True,valid,weak_softfail,True,True,valid,reject,True,True,,4,0,68
egypt,healthcare,EG-HEA-001,b05dcc3b99191c77,2026-08-26,fallback,False,True,1,1,6,7,2,0,5,5,2,2,True,valid,weak_softfail,True,True,valid,quarantine,True,True,,3,0,76
tanzania,healthcare,TZ-HEA-001,3bd388f11959d0c2,2026-08-26,fallback,False,True,1,1,4,5,1,0,4,4,1,5,True,valid,weak_softfail,True,True,valid,quarantine,True,False,,2,0,84
nigeria,telecom-tech,NG-TEC-001,8e1fff90b5b2d295,2026-08-26,fallback,False,True,1,1,6,7,1,0,6,6,1,3,True,valid,unspecified_all,True,True,valid,reject,True,False,,1,0,92
ghana,telecom-tech,GH-TEC-001,6056b45d642e43e7,2026-08-26,fallback,False,True,1,1,4,5,1,0,5,5,0,4,False,absent,absent,,False,absent,absent,False,False,,3,2,62
kenya,telecom-tech,KE-TEC-001,33911495c51ca1be,2026-08-26,fallback,False,True,1,1,12,13,2,0,9,9,2,4,True,valid,weak_softfail,True,True,valid,reject,True,False,,3,0,76
south-africa,telecom-tech,ZA-TEC-001,895eb44447351f2c,2026-08-26,fallback,False,True,1,1,15,16,1,0,14,14,1,4,True,valid,strict_hardfail,False,True,valid,quarantine,True,False,,2,0,84
