country,sector,organization_id,domain,selection_source,selection_date,authorization_status
nigeria,government,NG-GOV-001,nigeria.gov.ng,https://www.gov.ng/,2026-08-24,passive-public-research-only
ghana,government,GH-GOV-001,ghana.gov.gh,https://www.ghana.gov.gh/,2026-08-24,passive-public-research-only
kenya,government,KE-GOV-001,kenya.go.ke,https://www.mygov.go.ke/,2026-08-24,passive-public-research-only
south-africa,government,ZA-GOV-001,gov.za,https://www.gov.za/,2026-08-24,passive-public-research-only
egypt,government,EG-GOV-001,egypt.gov.eg,https://www.egypt.gov.eg/,2026-08-24,passive-public-research-only
tanzania,government,TZ-GOV-001,tanzania.go.tz,https://www.tanzania.go.tz/,2026-08-24,passive-public-research-only
nigeria,universities,NG-UNI-001,unilag.edu.ng,https://www.nuc.edu.ng/,2026-08-24,passive-public-research-only
ghana,universities,GH-UNI-001,ug.edu.gh,https://www.gtec.edu.gh/,2026-08-24,passive-public-research-only
kenya,universities,KE-UNI-001,uonbi.ac.ke,https://www.che.ac.ke/,2026-08-24,passive-public-research-only
south-africa,universities,ZA-UNI-001,up.ac.za,https://www.dhet.gov.za/,2026-08-24,passive-public-research-only
egypt,universities,EG-UNI-001,cu.edu.eg,https://scu.eg/,2026-08-24,passive-public-research-only
tanzania,universities,TZ-UNI-001,udsm.ac.tz,https://www.tcu.go.tz/,2026-08-24,passive-public-research-only
nigeria,business,NG-BUS-001,gtbank.com,https://sec.gov.ng/,2026-08-24,passive-public-research-only
ghana,business,GH-BUS-001,ecobank.com,https://sec.gov.gh/,2026-08-24,passive-public-research-only
kenya,business,KE-BUS-001,kcbgroup.com,https://www.cma.or.ke/,2026-08-24,passive-public-research-only
south-africa,business,ZA-BUS-001,standardbank.co.za,https://www.jse.co.za/,2026-08-24,passive-public-research-only
egypt,business,EG-BUS-001,nbe.com.eg,https://www.egx.com.eg/,2026-08-24,passive-public-research-only
tanzania,business,TZ-BUS-001,crdbbank.co.tz,https://www.cmsa.go.tz/,2026-08-24,passive-public-research-only
nigeria,healthcare,NG-HEA-001,nhia.gov.ng,https://www.gov.ng/,2026-08-24,passive-public-research-only
ghana,healthcare,GH-HEA-001,ghanahealthservice.org,https://www.ghana.gov.gh/,2026-08-24,passive-public-research-only
kenya,healthcare,KE-HEA-001,knh.or.ke,https://www.mygov.go.ke/,2026-08-24,passive-public-research-only
south-africa,healthcare,ZA-HEA-001,netcare.co.za,https://www.gov.za/,2026-08-24,passive-public-research-only
egypt,healthcare,EG-HEA-001,mohp.gov.eg,https://www.egypt.gov.eg/,2026-08-24,passive-public-research-only
tanzania,healthcare,TZ-HEA-001,muhas.ac.tz,https://www.tanzania.go.tz/,2026-08-24,passive-public-research-only
nigeria,telecom-tech,NG-TEC-001,mtn.ng,https://www.ncc.gov.ng/,2026-08-24,passive-public-research-only
ghana,telecom-tech,GH-TEC-001,mtn.com.gh,https://nca.org.gh/,2026-08-24,passive-public-research-only
kenya,telecom-tech,KE-TEC-001,safaricom.co.ke,https://www.ca.go.ke/,2026-08-24,passive-public-research-only
south-africa,telecom-tech,ZA-TEC-001,vodacom.co.za,https://www.icasa.org.za/,2026-08-24,passive-public-research-only
egypt,telecom-tech,EG-TEC-001,vodafone.com.eg,https://www.tra.gov.eg/,2026-08-24,passive-public-research-only
tanzania,telecom-tech,TZ-TEC-001,vodacom.co.tz,https://www.tcra.go.tz/,2026-08-24,passive-public-research-only
